Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount
1679788800000,2023-03-26,ETHUSDT,1741.88,1801.0,1739.31,1773.88,354933.2372,627660488.27267,592618
1679875200000,2023-03-27,ETHUSDT,1773.88,1780.48,1686.13,1715.22,570563.5023,987197970.21984,810253
1679961600000,2023-03-28,ETHUSDT,1715.21,1795.73,1701.13,1772.99,536511.3973,935507384.149678,766887
1680048000000,2023-03-29,ETHUSDT,1773.0,1827.99,1772.48,1793.07,536865.5972,967342311.082234,810500
1680134400000,2023-03-30,ETHUSDT,1793.06,1829.69,1763.0,1793.61,579690.0394,1039397383.7804,876484
1680220800000,2023-03-31,ETHUSDT,1793.6,1847.28,1777.91,1821.52,554525.4762,1006896937.025254,902956
1680307200000,2023-04-01,ETHUSDT,1821.52,1842.83,1807.81,1820.79,272904.9674,497460628.07619107,579259
1680393600000,2023-04-02,ETHUSDT,1820.8,1824.81,1771.7,1794.51,322122.9385,580909276.164171,637705
1680480000000,2023-04-03,ETHUSDT,1794.51,1839.99,1762.77,1810.51,628503.6619,1131436800.437073,1098681
1680566400000,2023-04-04,ETHUSDT,1810.51,1891.91,1802.01,1870.37,622208.6411,1151551698.653268,1087425
1680652800000,2023-04-05,ETHUSDT,1870.38,1942.98,1864.58,1908.69,548595.5155,1045846831.791563,1077031
1680739200000,2023-04-06,ETHUSDT,1908.68,1909.91,1853.7,1872.41,396241.4352,743618300.024,916688
1680825600000,2023-04-07,ETHUSDT,1872.41,1882.61,1841.46,1863.72,284256.4873,528718750.378566,829061
1680912000000,2023-04-08,ETHUSDT,1863.73,1879.38,1847.0,1848.82,197905.5407,368792680.929658,902787
1680998400000,2023-04-09,ETHUSDT,1848.82,1873.99,1824.01,1858.92,287131.3079,529878494.840373,953458
1681084800000,2023-04-10,ETHUSDT,1858.91,1918.79,1846.4,1910.2,434739.7984,816212712.862947,586284
1681171200000,2023-04-11,ETHUSDT,1910.21,1937.37,1881.11,1889.86,405203.4892,774389695.845932,590527
1681257600000,2023-04-12,ETHUSDT,1889.86,1933.0,1852.65,1917.39,630844.4186,1195663632.078732,801456
1681344000000,2023-04-13,ETHUSDT,1917.4,2023.0,1899.55,2012.01,676164.5188,1333377092.124591,911569
1681430400000,2023-04-14,ETHUSDT,2012.0,2128.76,2009.22,2099.99,896307.3934,1877719501.123732,1182309
1681516800000,2023-04-15,ETHUSDT,2099.99,2111.85,2071.13,2090.6,321823.7851,674260851.49151,505299
1681603200000,2023-04-16,ETHUSDT,2090.61,2141.54,2072.72,2118.67,319880.4393,673034613.415835,529231
1681689600000,2023-04-17,ETHUSDT,2118.66,2120.51,2056.25,2074.0,426972.7071,889433328.786508,674817
1681776000000,2023-04-18,ETHUSDT,2073.99,2125.0,2051.0,2103.5,414244.6135,867291463.569828,636801
1681862400000,2023-04-19,ETHUSDT,2103.51,2104.6,1923.03,1933.73,775389.0602,1547934187.8590202,1116849
1681948800000,2023-04-20,ETHUSDT,1933.74,1982.99,1914.43,1942.98,625336.2495,1218184973.299396,869619
1682035200000,2023-04-21,ETHUSDT,1942.98,1957.27,1825.0,1848.78,688876.6186,1306179482.091942,868887
1682121600000,2023-04-22,ETHUSDT,1848.77,1887.31,1841.64,1874.16,331007.5879,616579601.311765,451499
1682208000000,2023-04-23,ETHUSDT,1874.17,1882.01,1836.37,1862.0,344514.3444,641362428.689366,463928
1682294400000,2023-04-24,ETHUSDT,1862.01,1890.0,1806.0,1841.84,447864.0517,826968889.241232,682824
1682380800000,2023-04-25,ETHUSDT,1841.84,1877.86,1801.66,1866.1,457870.6047,839226421.3782461,631766
1682467200000,2023-04-26,ETHUSDT,1866.1,1964.72,1785.0,1866.01,897709.7298,1695903568.960903,1182620
