Unix,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume USDT,tradecount
1621900800000,2021-05-25,XRPUSDT,0.9934,1.07,0.8791,0.9746,1654728049.91,1594338433.676522,1732593
1621987200000,2021-05-26,XRPUSDT,0.9747,1.0698,0.9461,1.0316,1160288119.63,1170818020.838289,1373206
1622073600000,2021-05-27,XRPUSDT,1.0316,1.0423,0.9322,0.9747,997129594.42,986757435.570752,1160125
1622160000000,2021-05-28,XRPUSDT,0.9747,0.9847,0.8445,0.8985,1220369622.06,1098606646.1519022,1226594
1622246400000,2021-05-29,XRPUSDT,0.8985,0.9413,0.7911,0.8318,980984330.42,845941030.510912,966749
1622332800000,2021-05-30,XRPUSDT,0.8319,0.9337,0.7974,0.9058,837581783.3,730804950.58208,843922
1622419200000,2021-05-31,XRPUSDT,0.9058,1.0495,0.8789,1.0409,1221688769.45,1196677931.148537,1454233
1622505600000,2021-06-01,XRPUSDT,1.0409,1.1,0.9742,1.0108,1130390772.85,1161830746.20794,1184801
1622592000000,2021-06-02,XRPUSDT,1.0108,1.0498,0.9793,1.0241,673790276.52,686061395.104792,709591
1622678400000,2021-06-03,XRPUSDT,1.0241,1.0789,1.0069,1.045,701176435.11,727545023.9713501,702600
1622764800000,2021-06-04,XRPUSDT,1.0453,1.0466,0.9156,0.9683,814525376.26,785851513.117171,883279
1622851200000,2021-06-05,XRPUSDT,0.9683,0.9973,0.8921,0.923,621966894.8,590664198.31932,618854
1622937600000,2021-06-06,XRPUSDT,0.923,0.9493,0.917,0.947,395443235.74,369842230.845661,354292
1623024000000,2021-06-07,XRPUSDT,0.9469,0.976,0.838,0.8618,673906993.46,623660636.681841,566030
1623110400000,2021-06-08,XRPUSDT,0.8619,0.8861,0.7838,0.8731,989287175.65,838984629.187942,771117
1623196800000,2021-06-09,XRPUSDT,0.873,0.9218,0.83,0.9218,798994471.7,695183593.047394,726532
1623283200000,2021-06-10,XRPUSDT,0.9218,0.9298,0.8522,0.8686,592646634.43,524032840.289698,445025
1623369600000,2021-06-11,XRPUSDT,0.8686,0.88,0.8335,0.8471,384826199.07,330610541.780051,321493
1623456000000,2021-06-12,XRPUSDT,0.8469,0.8479,0.8054,0.8326,375425465.13,309940575.854708,298000
1623542400000,2021-06-13,XRPUSDT,0.8325,0.8883,0.817,0.8832,344882480.06,292933567.324073,288434
1623628800000,2021-06-14,XRPUSDT,0.8833,0.93,0.8628,0.8906,441724628.58,391647479.28625,400977
1623715200000,2021-06-15,XRPUSDT,0.8905,0.9017,0.8551,0.8663,367733719.97,323448196.777283,333139
1623801600000,2021-06-16,XRPUSDT,0.8663,0.8733,0.8259,0.832,380134518.73,321967166.653003,312734
1623888000000,2021-06-17,XRPUSDT,0.8319,0.8612,0.8234,0.8419,315642616.21,266502679.947359,252780
1623974400000,2021-06-18,XRPUSDT,0.8419,0.845,0.7687,0.7972,389494745.89,315203423.849539,341621
1624060800000,2021-06-19,XRPUSDT,0.7971,0.8055,0.7557,0.7582,317290687.13,250165846.017548,257132
1624147200000,2021-06-20,XRPUSDT,0.7583,0.785,0.6968,0.7741,589364804.52,434933509.58257294,425781
1624233600000,2021-06-21,XRPUSDT,0.7741,0.7803,0.6037,0.6067,1073284195.87,726811232.2109929,654721
